id,name,description,price,date,category,image,gender,age,material
1,Shopkins,"Shopkins sunt personaje mici foarte dragute, distractive, care traiesc intr-o mare lume a cumparaturilor!",14.00,"2015-05-21 11:15:12",Figurine,28173.jpg,,0,
4,"Shopkins Brutarie","Shopkins sunt personaje mici foarte dragute, distractive, care traiesc intr-o mare lume a cumparaturilor!",47.00,"2015-05-21 11:17:44",Figurine,28636.jpg,,0,
5,"PinyPon Caravana","Faimoasele personaje din PinyPon la plimbare cu caravana.",14.00,"2015-05-21 11:18:54",Figurine,15529.jpg,,0,
6,"Figurina Alba ca Zapada","Colectioneaza cele mai simpatice figurine Bullyland.",14.00,"2015-05-21 11:19:43",Figurine,16059.jpg,,0,
7,"Figurina Aurora","Colectioneaza cele mai simpatice figurine Bullyland.",14.00,"2015-05-21 11:20:16",Figurine,16117.jpg,,0,
9,"Figurina Cenusareasa","Colectioneaza cele mai simpatice figurine Bullyland.",22.00,"2015-05-21 11:22:22",Figurine,16215.jpg,,0,
10,"Figurina Jasmine","Colectioneaza cele mai simpatice figurine Bullyland.",22.00,"2015-05-21 11:22:54",Figurine,18007.jpg,,0,
11,"Figurina Ariel in rochie de Mireasa","Colectioneaza cele mai simpatice figurine Bullyland.",22.00,"2015-05-21 11:23:35",Figurine,16082.jpg,,0,
12,"Planes 50 de bucati puzzle","Planes puzzle creativ!",10.00,"2015-05-21 11:25:51","Jocuri & puzzle",repcsik-50db-os-puzzle-trefl.jpg,,0,
13,"Cars 2 in 1 puzzle pentru calatorie","Cars 2 in 1. Acest puzzle o sa te ajute ca sa ai clipe frumoase si distractive.",9.99,"2015-05-21 11:26:43","Jocuri & puzzle",verdak-2-az-1-ben-utazo-puzzle-trefl.jpg,,0,
14,"Mr Little Pony 2in1 puzzle","Mr Little Pony puzzle 2 in 1 pentru calatorie!",9.99,"2015-05-21 11:29:24","Jocuri & puzzle",en-kicsi-ponim-2-az-1-ben-utazo-puzzle-trefl.jpg,,0,
15,"Minnie Mouse Puzzle","Acest puzzle iti va crea momente frumoase si distractive.",11.00,"2015-05-21 11:31:52","Jocuri & puzzle",minnie-eger-2-az-1-ben-utazo-puzzle-trefl.jpg,,0,
